<<<<<<< HEAD
AP Name,Ethernet MAC,Policy Tag,Site Tag,RF Tag,Reboot,Default
NUTTER.BUTTER1,683b:78:2b:o8:b2,,,,,
Oreo.Cookie2,78bc.1ab3.c8fc,,,,,
Mars.Bar.AP19,78bc.1adb.c744,,,,,
Baby.Ruth.AP11,5c5a.c7f0.7716,,,,,
Hoth.Icecream.shop,5c5a.c7f0.76f2,,,,,
=======
AP Name,Ethernet MAC,Policy Tag,Site Tag,RF Tag,Reboot,Default
NUTTER.BUTTER1,683b:78:2b:o8:b2,,,,,
Oreo.Cookie2,78bc.1ab3.c8fc,,,,,
Mars.Bar.AP19,78bc.1adb.c744,,,,,
Baby.Ruth.AP11,5c5a.c7f0.7716,,,,,
Hoth.Icecream.shop,5c5a.c7f0.76f2,,,,,
>>>>>>> 55a27c4d046c22a8bef59fb39e9fd8040e5d776e
